date,artist,song,pos,pos_prev,pos_peak,weeks
2006-09-23,Rihanna,Unfaithful,42,36,6,20
2006-11-04,Christina Aguilera,Ain't No Other Man,53,39,6,20
2006-12-30,Gwen Stefani,Wind It Up,12,7,6,7
2006-12-30,Nelly Furtado,Say It Right,6,6,6,6
2006-11-25,Panic! At The Disco,I Write Sins Not Tragedies,46,41,7,37
2006-10-14,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,47,44,7,28
2006-07-08,Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",50,42,7,25
2006-07-15,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,42,33,7,24
2006-11-18,Ne-Yo,Sexy Love,42,39,7,22
2006-10-28,Rascal Flatts,Life Is A Highway,77,69,7,20
2006-12-23,Ciara Featuring Chamillionaire,Get Up,42,42,7,20
2006-12-30,Jibbs,Chain Hang Low,84,79,7,20
2006-12-30,Jim Jones,We Fly High,7,8,7,11
2006-12-09,The Fray,Over My Head (Cable Car),44,42,8,42
2006-12-30,Nickelback,Far Away,20,20,8,22
2006-12-30,Danity Kane,Show Stopper,53,53,8,18
2006-12-30,JAY-Z,Show Me What You Got,52,37,8,11
2006-11-11,Chingy Featuring Tyrese,Pullin' Me Back,41,26,9,20
2006-12-30,Diddy Featuring Nicole Scherzinger,Come To Me,48,43,9,16
2006-12-30,"""Weird Al"" Yankovic",White & Nerdy,55,57,9,12
2006-12-30,Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine,9,10,9,11
2006-09-09,Field Mob Featuring Ciara,So What,47,36,10,21
2006-10-28,Young Dro Featuring T.I.,Shoulder Lean,36,32,10,20
2006-12-30,Chris Brown,Say Goodbye,28,23,10,19
2006-12-30,Evanescence,Call Me When You're Sober,34,31,10,18
2006-12-16,Beyonce,Ring The Alarm,95,71,11,13
2006-12-30,The All-American Rejects,It Ends Tonight,18,16,11,12
2006-12-30,Ciara,Promise,11,14,11,6
2006-08-05,Kelly Clarkson,Walk Away,47,40,12,29
2006-10-07,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,40,35,12,21
2006-08-05,Ashley Parker Angel,Let U Go,83,74,12,15
2006-08-05,Katharine McPhee,Somewhere Over The Rainbow,73,50,12,4
2006-12-30,"Eminem, 50 Cent, Lloyd Banks & Ca$his",You Don't Know,25,12,12,2
2006-11-11,E-40 Featuring T-Pain & Kandi Girl,U And Dat,48,42,13,25
2006-06-17,The Pussycat Dolls Featuring will.i.am,Beep,70,64,13,20
2006-06-10,P!nk,Stupid Girls,85,66,13,16
2006-12-30,Unk,Walk It Out,13,15,13,15
2006-12-30,My Chemical Romance,Welcome To The Black Parade,27,27,13,14
2006-12-30,The Killers,When You Were Young,59,52,14,19
2006-09-30,Jessica Simpson,A Public Affair,81,55,14,12
2006-12-30,Young Jeezy,I Luv It,14,22,14,5
2006-11-04,The All-American Rejects,Move Along,46,42,15,39
2006-07-29,Ne-Yo,When You're Mad,83,73,15,20
2006-09-02,Chris Brown Featuring Lil Wayne,Gimme That,61,56,15,20
2006-09-30,Kelis Featuring Too $hort,Bossy,45,35,16,20
2006-12-30,Carrie Underwood,Before He Cheats,23,24,16,16
2006-12-30,Nelly Furtado,Maneater,61,61,16,14
2006-11-25,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,59,44,17,20
2006-12-30,Avril Lavigne,Keep Holding On,19,17,17,3
2006-09-23,Paris Hilton,Stars Are Blind,81,54,18,12
2006-09-23,Nickelback,Savin' Me,50,42,19,28
2006-06-10,Keyshia Cole,Love,100,88,19,19
2006-12-30,Christina Aguilera,Hurt,21,21,19,12
2006-10-14,KT Tunstall,Black Horse & The Cherry Tree,50,47,20,30
2006-12-30,John Mayer,Waiting On The World To Change,29,29,20,23
2006-12-30,Snoop Dogg Featuring R. Kelly,That's That,24,25,20,5
2006-06-17,Three 6 Mafia,Poppin' My Collar,97,75,21,16
2006-12-30,Birdman & Lil Wayne,Stuntin' Like My Daddy,42,36,21,16
2006-07-08,Christina Milian Featuring Young Jeezy,Say I,94,83,21,13
2006-08-26,Ashlee Simpson,Invisible,76,42,21,4
2006-12-30,Paula DeAnda Featuring The DEY,Walk Away (Remember Me),22,26,22,11
2006-07-22,Bon Jovi,Who Says You Can't Go Home,48,48,23,26
2006-09-23,Dixie Chicks,Not Ready To Make Nice,100,90,23,20
2006-03-04,Andrew Seeley,Get'cha Head In The Game,87,71,23,5
2006-09-30,AFI,Miss Murder,75,63,24,20
2006-11-04,Janet & Nelly,Call On Me,85,74,25,18
2006-12-30,Lloyd Featuring Lil Wayne,You,26,32,26,6
2006-02-11,Gavin DeGraw,We Belong Together,75,26,26,3
2006-12-30,Rascal Flatts,My Wish,33,33,28,15
2006-05-06,Matisyahu,King Without A Crown,85,71,28,14
2006-12-30,Lil Scrappy Featuring Young Buck,Money In The Bank,32,28,28,14
2006-03-04,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",Start Of Something New,95,92,28,4
2006-07-01,Teddy Geiger,For You I Will (Confidence),60,55,29,20
2006-09-09,T.I.,Why You Wanna,75,56,29,20
2006-12-30,Fat Joe Featuring Lil Wayne,Make It Rain,30,30,30,7
2006-11-04,Blue October,Hate Me,49,37,31,28
2006-07-08,Saving Jane,Girl Next Door,89,80,31,20
